seed,cnn1d_attnfusion,dual-CNN(e1 rerun),diff_a_minus_b
0,1.0,1.0,0.0
1,0.9991503823279524,1.0,-0.000849617672047609
2,0.9983007646559049,1.0,-0.001699235344095107
3,0.9974511469838573,0.9991503823279524,-0.001699235344095107
4,1.0,1.0,0.0
