seed,dual-BM2,dual-BM3(CE-only),diff_a_minus_b
0,0.7475840681224424,0.8668442452354015,-0.11926017711295911
1,0.9274218199579397,0.9929140226648658,-0.06549220270692613
2,0.7647678697918536,0.9383255216743356,-0.17355765188248196
3,0.8216378884663805,0.9837343388445594,-0.16209645037817888
4,0.9158362584018167,0.9629931095619938,-0.04715685116017709
