dataset,cell,channel_A,channel_B,snr_A_db,snr_B_db,sig_power_A,noise_power_A,sig_power_B,noise_power_B
CWRU,ball_load0,DE,FE,3.755936032661775,2.2357350152268376,1.321580612057005e-06,5.565447054323158e-07,9.599410759619786e-07,5.736818025070534e-07
CWRU,ball_load1,DE,FE,4.902308120512019,3.170563037316408,1.2742099215756753e-06,4.1210716972273076e-07,1.0395641538707423e-06,5.009507049180684e-07
CWRU,ball_load2,DE,FE,2.098452006681971,0.6201378445469756,9.235020002051897e-07,5.696297193935607e-07,6.452774528042937e-07,5.594131948782888e-07
CWRU,ball_load3,DE,FE,3.6725125581173317,1.672529396504209,1.1709862519637682e-06,5.026903409088845e-07,6.506705290121317e-07,4.4269864929447067e-07
CWRU,inner_load0,DE,FE,5.764323366803653,3.783735811888988,2.9603725124616176e-06,7.850802035136439e-07,1.5627811080776155e-06,6.53919926207891e-07
CWRU,inner_load1,DE,FE,4.9656215986081085,3.550550907504873,1.6469363117721514e-06,5.249460173217813e-07,1.3050544112047646e-06,5.762003638665192e-07
CWRU,inner_load2,DE,FE,2.987348082688468,1.110793598561666,1.442611846869113e-06,7.251280180753383e-07,9.883659686238389e-07,7.653118245798396e-07
CWRU,inner_load3,DE,FE,4.188717163994406,2.8671975858069936,1.3098830322633148e-06,4.992991193830676e-07,1.3649478205479681e-06,7.053363901832199e-07
CWRU,normal_load0,DE,FE,1.4165526847561158,1.5107324315657626,4.6586401367676444e-06,3.3620478916418506e-06,7.119821475498611e-06,5.028006853535771e-06
CWRU,normal_load1,DE,FE,0.34108859977556144,-0.7311242202440309,4.685975454776781e-06,4.332026946940459e-06,3.7807621993124485e-06,4.473956778383581e-06
CWRU,normal_load2,DE,FE,0.5813541239393015,-0.2988027266427334,3.713004161909339e-06,3.2478055800311267e-06,3.194391183569678e-06,3.421908331802115e-06
CWRU,normal_load3,DE,FE,0.1433977360438437,-0.038824792903179105,3.61796287506877e-06,3.5004536584892776e-06,3.473798415143392e-06,3.5049924917984754e-06
CWRU,outer_load0,DE,FE,-2.3308710907334556,-0.01100480190749407,1.7907112805914949e-06,3.0627579690190032e-06,1.315985400651698e-06,1.3193242693887441e-06
CWRU,outer_load1,DE,FE,-1.6283713360493057,-0.8929261262158639,1.4972191593187745e-06,2.1783241663797526e-06,1.4288806369222584e-06,1.7550462416693335e-06
CWRU,outer_load2,DE,FE,1.5166417284011657,1.4595287753731503,1.8885668850998627e-06,1.3318895071279258e-06,1.6960677839961136e-06,1.2119656958020641e-06
CWRU,outer_load3,DE,FE,1.8676646589269543,1.6491891244291155,1.6318797406711383e-06,1.061504121935286e-06,1.47660750826617e-06,1.0100576446347986e-06
XJTU,35Hz12kN_OR,H,V,4.129660833776871,3.1285596328657213,0.003193050254291544,0.0012342151894699782,0.008680913286904493,0.004378711707734813
XJTU,37.5Hz11kN_IR,H,V,-1.4237176953199016,-0.21842024811158683,0.00038560552638955414,0.0005351986619643867,0.004618795122951269,0.004857029300183058
XJTU,37.5Hz11kN_OR,H,V,-3.0764451754124837,-0.5557743619368628,0.000917870367023473,0.003333828062750399,0.019428577351694305,0.0325396682213371
XJTU,40Hz10kN_IR,H,V,1.1285953077557749,-4.512513672542719,0.0004890308919129893,0.00034399761352688074,0.0014319461188279092,0.0041492675663903356
XJTU,40Hz10kN_OR,H,V,-1.7280625714885194,-2.4587779183662763,0.0016563310637138784,0.002391953021287918,0.009548108442686498,0.010389088303782046
