dataset,fault_type,load_hp,condition,bearing,rpm,n_files,n_bearings,bearings,n_samples,mean_coherence_fault_bands,mean_coherence_all,snr_A_db,snr_B_db,xcorr_peak,xcorr_peak_lag_samples,label
CWRU,ball,0,,,1796.0,3,,,366408,0.44779327511787415,0.2397892028093338,3.755936032661775,2.2357350152268376,0.1258218139410019,-10,CWRU_ball_load0
CWRU,ball,1,,,1772.6666666666667,3,,,365247,0.43651077151298523,0.21250207722187042,4.902308120512019,3.170563037316408,0.13664564490318298,1,CWRU_ball_load1
CWRU,ball,2,,,1750.3333333333333,3,,,365683,0.3535630404949188,0.20936019718647003,2.098452006681971,0.6201378445469756,0.1210932657122612,-10,CWRU_ball_load2
CWRU,ball,3,,,1725.0,3,,,365828,0.3867952823638916,0.2227812260389328,3.6725125581173317,1.672529396504209,-0.23530936241149902,-2514,CWRU_ball_load3
CWRU,inner,0,,,1796.6666666666667,3,,,365247,0.4918140172958374,0.33830785751342773,5.764323366803653,3.783735811888988,0.26477286219596863,-10,CWRU_inner_load0
CWRU,inner,1,,,1773.3333333333333,3,,,365393,0.4554812014102936,0.3149110972881317,4.9656215986081085,3.550550907504873,0.21423283219337463,-10,CWRU_inner_load1
CWRU,inner,2,,,1750.6666666666667,3,,,365828,0.4218994677066803,0.3401108682155609,2.987348082688468,1.110793598561666,0.149117574095726,-1230,CWRU_inner_load2
CWRU,inner,3,,,1725.6666666666667,3,,,366609,0.41283199191093445,0.3198176622390747,4.188717163994406,2.8671975858069936,-0.16075529158115387,-5,CWRU_inner_load3
CWRU,normal,0,,,1796.0,1,,,243938,0.46018847823143005,0.20382820069789886,1.4165526847561158,1.5107324315657626,-0.5463743209838867,69,CWRU_normal_load0
CWRU,normal,1,,,1772.0,1,,,483903,0.396665096282959,0.20338276028633118,0.34108859977556144,-0.7311242202440309,-0.5095418095588684,8209,CWRU_normal_load1
CWRU,normal,2,,,1750.0,1,,,485063,0.33589470386505127,0.2119220346212387,0.5813541239393015,-0.2988027266427334,-0.4943828284740448,-6588,CWRU_normal_load2
CWRU,normal,3,,,1725.0,1,,,485643,0.3066087067127228,0.19352087378501892,0.1433977360438437,-0.038824792903179105,-0.4333323836326599,69,CWRU_normal_load3
CWRU,outer,0,,,1796.0,3,,,366263,0.4064329266548157,0.43031901121139526,-2.3308710907334556,-0.01100480190749407,0.3691856861114502,-11,CWRU_outer_load0
CWRU,outer,1,,,1772.0,3,,,366553,0.4607318043708801,0.42753109335899353,-1.6283713360493057,-0.8929261262158639,0.3715137541294098,-11,CWRU_outer_load1
CWRU,outer,2,,,1749.0,3,,,365537,0.4225490987300873,0.4120122492313385,1.5166417284011657,1.4595287753731503,0.3574722707271576,-11,CWRU_outer_load2
CWRU,outer,3,,,1723.0,3,,,366553,0.39180052280426025,0.40007483959198,1.8676646589269543,1.6491891244291155,0.42462313175201416,-11,CWRU_outer_load3
XJTU,OR,,35Hz12kN,,2100.0,,3,"Bearing1_1,Bearing1_2,Bearing1_3",,0.37293142080307007,0.3228895564874013,4.129660833776871,3.1285596328657213,0.147273987531662,,
XJTU,IR,,37.5Hz11kN,,2250.0,,1,Bearing2_1,,0.5537691116333008,0.22378399968147278,-1.4237176953199016,-0.21842024811158683,0.17011071741580963,,
XJTU,OR,,37.5Hz11kN,,2250.0,,3,"Bearing2_2,Bearing2_4,Bearing2_5",,0.3369215528170268,0.23949931065241495,-3.0764451754124837,-0.5557743619368628,0.1146885355313619,,
XJTU,IR,,40Hz10kN,,2400.0,,2,"Bearing3_3,Bearing3_4",,0.40060290694236755,0.2659136950969696,1.1285953077557749,-4.512513672542719,0.021768011152744293,,
XJTU,OR,,40Hz10kN,,2400.0,,2,"Bearing3_1,Bearing3_5",,0.42274704575538635,0.30750666558742523,-1.7280625714885194,-2.4587779183662763,0.23865847289562225,,
